ListingID,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Cost_Price,Sale_Price
156,Volkswagen Polo Diesel Trendline 1.2L,Rawalpindi,2012,65634,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5,,4666.0
157,Datsun GO NXT,Faislabad,2016,6000,Petrol,Manual,First,20.63 kmpl,1198 CC,67.06 bhp,5,,3333.0
158,Honda Brio S MT,Faislabad,2013,33280,Petrol,Manual,First,19.4 kmpl,1198 CC,86.8 bhp,5,,3186.0
159,Mercedes-Benz B Class B180,Hyderabad,2013,29000,Petrol,Automatic,First,14.8 kmpl,1595 CC,120.7 bhp,5,,15000.0
160,Honda City i DTEC V,Multan,2015,42831,Diesel,Manual,First,26.0 kmpl,1498 CC,98.6 bhp,5,,9480.0
161,Toyota Innova 2.5 G (Diesel) 7 Seater,Chitral,2016,90000,Diesel,Manual,First,12.99 kmpl,2494 CC,100.6 bhp,7,,14533.0
162,Nissan Leaf,Chitral,2017,24005,Petrol,Manual,First,20.4 kmpl,1197 CC,81.80 bhp,5,,8266.0
163,Toyota Corolla,Quetta,2012,32792,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,7,,10533.0
164,Ford Ecosport 1.5 DV5 MT Ambiente,Multan,2014,147898,Diesel,Manual,First,22.7 kmpl,1498 CC,89.84 bhp,5,,5893.0
165,Toyota Fortuner 4x2 Manual,Quetta,2012,131765,Diesel,Manual,First,13.0 kmpl,2982 CC,168.5 bhp,7,,18000.0
166,Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,Islamabad,2013,65000,Diesel,Automatic,First,21.5 kmpl,1498 CC,108.5 bhp,5,,8333.0
167,Ford Figo Diesel Titanium,Rawalpindi,2010,66123,Diesel,Manual,Second,20.0 kmpl,1399 CC,68 bhp,5,,2800.0
168,BMW X5 xDrive 30d,Quetta,2015,41000,Diesel,Automatic,First,15.3 kmpl,2993 CC,258 bhp,5,,60000.0
169,Mercedes-Benz New C-Class C 220 CDI Style,Lahore,2017,23550,Diesel,Automatic,First,19.27 kmpl,2143 CC,167.62 bhp,5,,44879.0
170,Honda Brio V MT,Peshawar,2012,45000,Petrol,Manual,Second,19.4 kmpl,1198 CC,86.8 bhp,5,,4866.0
171,Hyundai i10 Magna 1.2,Hyderabad,2013,60000,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5,,3666.0
172,Mercedes-Benz GLC 220,Peshawar,2016,44414,Diesel,Automatic,First,17.9 kmpl,2143 CC,170 bhp,5,,56666.0
173,Hyundai Grand i10 1.2 Kappa Asta,Faislabad,2019,1000,Petrol,Manual,First,18.9 kmpl,1197 CC,81.86 bhp,5,9853.333333333334,8666.0
174,Audi A6 2011-2015 2.0 TDI Premium Plus,Quetta,2012,62500,Diesel,Automatic,Second,17.68 kmpl,1968 CC,174.33 bhp,5,,25333.0
175,Volkswagen Vento Petrol Highline AT,Quetta,2013,21000,Petrol,Automatic,Second,14.4 kmpl,1598 CC,103.6 bhp,5,,5933.0
176,Mini Countryman Cooper D,Rawalpindi,2017,8525,Diesel,Automatic,Second,16.6 kmpl,1998 CC,112 bhp,5,,30666.0
177,Hyundai i20 Asta 1.4 CRDi,Peshawar,2014,29000,Diesel,Manual,First,22.54 kmpl,1396 CC,88.73 bhp,5,,11133.0
178,Audi A6 2011-2015 2.0 TDI Premium Plus,Quetta,2014,40000,Diesel,Automatic,First,17.68 kmpl,1968 CC,174.33 bhp,5,,30600.0
179,Chevrolet Beat Diesel LT,Rawalpindi,2012,88000,Diesel,Manual,First,25.44 kmpl,936 CC,57.6 bhp,5,,2000.0
180,Skoda Superb Elegance 1.8 TSI AT,Multan,2012,53537,Petrol,Automatic,First,13.7 kmpl,1798 CC,157.75 bhp,5,,9186.0
181,Ford Fiesta 1.4 TDCi EXI Limited Edition,Islamabad,2006,216000,Diesel,Manual,Second,17.8 kmpl,1399 CC,68 bhp,5,,1933.0
182,BMW 5 Series 520d Luxury Line,Abbottabad,2014,51000,Diesel,Automatic,First,22.48 kmpl,1995 CC,190 bhp,5,92626.66666666667,44666.0
183,Chevrolet Optra Magnum 1.6 LS BS3,Rawalpindi,2007,118500,Petrol,Manual,First,12.9 kmpl,1598 CC,102.5 bhp,5,,1666.0
184,Volkswagen Polo Diesel Highline 1.2L,Abbottabad,2012,63000,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5,,5600.0
185,Renault Lodgy 110PS RxZ 8 Seater,Quetta,2015,25000,Diesel,Manual,First,19.98 kmpl,1461 CC,108.5 bhp,8,,9000.0
186,Mercedes-Benz E-Class E250 CDI Avantgrade,Peshawar,2014,37382,Diesel,Automatic,First,13.0 kmpl,2143 CC,201.1 bhp,5,,42666.0
187,Mazda CX-5,Multan,2017,24773,Petrol,Manual,First,21.4 kmpl,1197 CC,83.1 bhp,5,11706.666666666664,10000.0
188,Hyundai Verna 1.6 SX,Hyderabad,2012,62000,Diesel,Manual,First,22.32 kmpl,1582 CC,126.32 bhp,5,,6133.0
189,Hyundai i10 Magna 1.1,Multan,2017,52340,Petrol,Manual,First,19.81 kmpl,1086 CC,68.05 bhp,5,,5386.0
190,Mazda CX-5,Multan,2016,56739,Diesel,Manual,First,15.4 kmpl,1997 CC,120 bhp,7,,13746.0
191,Land Rover Range Rover 2.2L Dynamic,Lahore,2018,36091,Diesel,Automatic,First,12.7 kmpl,2179 CC,187.7 bhp,5,,74346.0
192,Ford Figo Diesel ZXI,Islamabad,2010,120000,Diesel,Manual,First,20.0 kmpl,1399 CC,68 bhp,5,,3466.0
193,Nissan Leaf,Quetta,2016,33000,Diesel,Manual,First,25.47 kmpl,1248 CC,88.50 bhp,7,16986.666666666668,11333.0
194,Honda City 1.5 GXI,Chitral,2007,60006,Petrol,Manual,First,0.0 kmpl,,,0,,3933.0
195,Honda Amaze S i-Dtech,Faislabad,2014,52000,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,5,7000,4666.0
196,Hyundai i10 Magna,Rawalpindi,2015,43571,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5,,4733.0
197,Honda Amaze S i-Dtech,Faislabad,2013,50000,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,5,,4333.0
198,Skoda Laura Ambiente,Abbottabad,2008,113000,Diesel,Manual,First,17.5 kmpl,1896 CC,106 bhp,5,,6000.0
199,Renault Duster 85PS Diesel RxL,Hyderabad,2014,90000,Diesel,Manual,First,19.87 kmpl,1461 CC,83.8 bhp,5,,7133.0
200,Mazda CX-5,Islamabad,2017,29000,Diesel,Manual,Second,17.45 kmpl,1493 CC,100 bhp,7,14026.666666666666,8666.0
201,Mazda CX-5,Quetta,2016,20000,Diesel,Manual,First,24.3 kmpl,1248 CC,88.5 bhp,5,15973.333333333334,12000.0
202,Hyundai i20 Asta Option 1.2,Multan,2016,61012,Petrol,Manual,First,18.6 kmpl,1197 CC,81.83 bhp,5,,8000.0
203,Skoda Fabia 1.4 MPI Ambiente,Rawalpindi,2009,87459,Petrol,Manual,First,14.7 kmpl,1390 CC,85 bhp,5,,3666.0
204,Toyota Corolla,Karachi,2010,70500,Petrol,Manual,First,15.64 kmpl,1193 CC,64.1 bhp,5,,2000.0
205,Audi Q3 2012-2015 35 TDI Quattro Premium Plus,Hyderabad,2015,64103,Diesel,Automatic,First,15.73 kmpl,1968 CC,174.33 bhp,5,,26533.0
206,Skoda Octavia Elegance 1.8 TSI AT,Quetta,2014,76000,Petrol,Automatic,First,14.7 kmpl,1798 CC,177.5 bhp,5,,13333.0
207,Toyota Etios Liva GD SP,Hyderabad,2014,104000,Diesel,Manual,First,23.59 kmpl,1364 CC,67.06 bhp,5,,4000.0
208,Honda Civic,Faislabad,2010,42001,Petrol,Manual,First,16.1 kmpl,,,0,,2813.0
209,Mercedes-Benz B Class B180,Multan,2014,37245,Petrol,Automatic,First,14.8 kmpl,1595 CC,120.7 bhp,5,,15946.0
210,Honda Amaze S Diesel,Faislabad,2013,45000,Diesel,Manual,First,27.4 kmpl,1498 CC,98.6 bhp,5,11386.666666666664,4333.0
211,Hyundai Verna 1.6 SX,Rawalpindi,2012,117837,Diesel,Manual,Second,22.32 kmpl,1582 CC,126.32 bhp,5,,6333.0
212,Renault Duster 85PS Diesel RxL Optional,Quetta,2014,30000,Diesel,Manual,First,20.46 kmpl,1461 CC,83.8 bhp,5,,7933.0
213,Hyundai Creta 1.6 VTVT S,Hyderabad,2015,27057,Petrol,Manual,Second,15.29 kmpl,1591 CC,121.3 bhp,5,,10866.0
214,Subaru Forester,Quetta,2016,8500,Petrol,Automatic,First,20.51 kmpl,998 CC,67 bhp,5,,5626.0
215,Mercedes-Benz New C-Class C250 Avantgarde,Faislabad,2010,30500,Petrol,Automatic,First,11.74 kmpl,1796 CC,186 bhp,5,,14000.0
216,Audi A8 L 3.0 TDI quattro,Hyderabad,2012,56000,Diesel,Automatic,First,11.8 kmpl,2967 CC,246.7 bhp,5,,60000.0
217,Hyundai i10 Magna 1.1,Karachi,2012,44000,Petrol,Manual,Second,19.81 kmpl,1086 CC,68.05 bhp,5,,3866.0
218,Skoda Rapid 1.6 MPI AT Style Black Package,Quetta,2017,10500,Petrol,Automatic,First,14.3 kmpl,1598 CC,103.52 bhp,5,,11866.0
219,Skoda Superb Style 1.8 TSI AT,Abbottabad,2017,26000,Petrol,Automatic,First,14.67 kmpl,1798 CC,177.46 bhp,5,44773.333333333336,34666.0
220,Hyundai i20 Active 1.2 SX,Lahore,2018,25166,Petrol,Manual,First,17.19 kmpl,1197 CC,81.86 bhp,5,,10960.0
221,Honda Amaze VX i-DTEC,Faislabad,2014,64000,Diesel,Manual,Second,25.8 kmpl,1498 CC,98.6 bhp,5,,4666.0
222,Toyota Corolla,Islamabad,2004,61000,Petrol,Manual,Second,18.9 kmpl,998 CC,67.1 bhp,5,,1666.0
223,Honda Civic,Abbottabad,2013,107000,Diesel,Manual,First,21.03 kmpl,1461 CC,65 bhp,5,12159.999999999998,4933.0
224,Mercedes-Benz New C-Class C 220d Avantgarde Edition C,Lahore,2018,29161,Diesel,Automatic,First,19.27 kmpl,2143 CC,167.62 bhp,5,,52546.0
225,Subaru Forester,Faislabad,2013,32000,Petrol,Manual,First,22.5 kmpl,998 CC,67.04 bhp,5,7053.333333333333,3533.0
226,Nissan Terrano XV Premium 110 PS Anniversary Edition,Lahore,2015,46173,Diesel,Manual,Second,19.01 kmpl,1461 CC,108.5 bhp,5,,11893.0
228,Mini Cooper Convertible S,Multan,2017,26327,Petrol,Automatic,First,16.82 kmpl,1998 CC,189.08 bhp,4,59040.0,47560.0
229,Ford Figo Diesel,Peshawar,2015,70436,Diesel,Manual,First,0.0 kmpl,1498 CC,99 bhp,0,,4800.0
230,Honda Civic,Rawalpindi,2007,200000,Diesel,Manual,Second,17.2 kmpl,1396 CC,53.5 bhp,5,,1133.0
231,Chevrolet Beat LT,Multan,2016,60813,Petrol,Manual,Second,18.6 kmpl,1199 CC,76.8 bhp,5,,4426.0
232,Volkswagen Polo Diesel Comfortline 1.2L,Quetta,2012,45000,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5,,4800.0
233,Honda Civic,Abbottabad,2016,64000,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,5,,9066.0
234,Ford Figo Diesel EXI,Faislabad,2012,41284,Diesel,Manual,First,20.0 kmpl,1399 CC,68.05 bhp,5,,3333.0
235,Toyota Innova Crysta 2.8 GX AT,Multan,2019,14165,Diesel,Automatic,First,11.36 kmpl,2755 CC,171.5 bhp,7,27653.33333333333,26186.0
236,Hyundai Santa Fe 4x4 AT,Quetta,2011,67000,Diesel,Automatic,Second,11.72 kmpl,2199 CC,194.3 bhp,7,,9333.0
237,Honda City i-VTEC V,Faislabad,2011,32572,Petrol,Manual,First,17.4 kmpl,1497 CC,117.3 bhp,5,15653.333333333334,5160.0
238,Hyundai i20 1.2 Magna Executive,Multan,2018,14960,Petrol,Manual,First,18.6 kmpl,1197 CC,81.83 bhp,5,,8360.0
239,Mercedes-Benz New C-Class C 220d Avantgarde Edition C,Multan,2015,55980,Diesel,Automatic,First,19.27 kmpl,2143 CC,167.62 bhp,5,,24160.0
240,Chevrolet Beat Diesel LT,Quetta,2013,74000,Diesel,Manual,First,25.44 kmpl,936 CC,57.6 bhp,5,,3533.0
241,Hyundai i20 Sportz 1.4 CRDi,Multan,2015,56847,Diesel,Manual,First,22.54 kmpl,1396 CC,88.73 bhp,5,,9600.0
242,Toyota Innova 2.5 Z Diesel 7 Seater,Lahore,2015,121374,Diesel,Manual,First,12.99 kmpl,2494 CC,100.6 bhp,7,,19066.0
243,Toyota Corolla,Islamabad,2013,52000,Diesel,Manual,First,20.77 kmpl,1248 CC,88.76 bhp,7,,9200.0
244,Toyota Innova 2.5 V Diesel 7-seater,Quetta,2014,118000,Diesel,Manual,First,12.8 kmpl,2494 CC,102 bhp,7,,14333.0
246,Honda City i VTEC V,Multan,2016,33915,Petrol,Manual,First,17.8 kmpl,1497 CC,117.3 bhp,5,,10786.0
247,BMW X1 sDrive20d,Chitral,2014,82002,Diesel,Automatic,First,17.05 kmpl,1995 CC,184 bhp,5,,24666.0
248,Hyundai Grand i10 CRDi Era,Quetta,2017,33000,Diesel,Manual,First,24.0 kmpl,1120 CC,70 bhp,5,,6333.0
249,Honda Civic,Islamabad,2016,34000,Diesel,Manual,First,28.09 kmpl,1248 CC,88.5 bhp,5,,11266.0
250,Skoda Rapid Leisure 1.6 TDI MT,Faislabad,2012,55000,Diesel,Manual,First,20.5 kmpl,1598 CC,103.6 bhp,5,,4666.0
251,Hyundai Accent CRDi,Multan,2006,160538,Diesel,Manual,First,13.1 kmpl,1493 CC,82 bhp,5,,2400.0
252,Volkswagen Polo GT 1.5 TDI,Rawalpindi,2014,60000,Diesel,Manual,Second,19.91 kmpl,1498 CC,103.6 bhp,5,,4933.0
253,Honda Jazz 1.2 VX i VTEC,Lahore,2017,49575,Petrol,Manual,First,18.7 kmpl,1199 CC,88.7 bhp,5,,9560.0
254,Hyundai i10 Era,Rawalpindi,2010,83000,Petrol,Manual,First,19.81 kmpl,1086 CC,68.05 bhp,5,,2333.0
255,Hyundai Tucson 2.0 e-VGT 2WD AT GLS,Multan,2018,51346,Diesel,Automatic,First,16.38 kmpl,1995 CC,183 bhp,5,,29320.0
256,Toyota Innova Crysta 2.4 ZX MT,Karachi,2017,43000,Diesel,Manual,First,13.68 kmpl,2393 CC,147.8 bhp,7,34026.666666666664,24866.0
257,Mazda CX-5,Rawalpindi,2011,35000,Petrol,Manual,Third,19.7 kmpl,796 CC,35 bhp,5,,2466.0
258,Honda Civic,Lahore,2017,27872,Petrol,Manual,Second,20.4 kmpl,1197 CC,81.80 bhp,5,,7933.0
259,Hyundai Grand i10 Magna,Quetta,2014,16514,Petrol,Manual,First,18.9 kmpl,1197 CC,82 bhp,5,,5000.0
260,Subaru Forester,Karachi,2012,120000,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,5,,5000.0
261,Hyundai Verna CRDi 1.6 SX,Abbottabad,2008,143275,Diesel,Manual,First,22.0 kmpl,1582 CC,126.2 bhp,5,18760.0,3466.0
263,Hyundai i20 1.2 Sportz,Quetta,2010,52000,Petrol,Manual,First,17.0 kmpl,1197 CC,80 bhp,5,,3733.0
264,Mercedes-Benz GLE 350d,Lahore,2017,29819,Diesel,Automatic,First,11.57 kmpl,2987 CC,254.79 bhp,5,126840.0,81720.0
265,Mercedes-Benz New C-Class C 220 CDI CLASSIC,Peshawar,2014,57000,Diesel,Manual,Second,15.8 kmpl,2148 CC,170 bhp,5,,24000.0
266,Subaru Forester,Abbottabad,2014,88500,Diesel,Manual,First,23.2 kmpl,1248 CC,73.94 bhp,5,,5799.0
267,Hyundai Creta 1.6 CRDi SX,Peshawar,2016,28000,Diesel,Manual,First,19.67 kmpl,1582 CC,126.2 bhp,5,,18333.0
268,Subaru Forester,Karachi,2010,67000,Petrol,Manual,First,19.0 kmpl,998 CC,66.1 bhp,5,,2666.0
269,Renault Duster 110PS Diesel RXZ Option,Hyderabad,2016,26000,Diesel,Manual,First,19.64 kmpl,1461 CC,108.45 bhp,5,,13333.0
270,Fiat Grande Punto 1.3 Emotion Pack (Diesel),Hyderabad,2010,120000,Diesel,Manual,First,17.8 kmpl,1248 CC,76 bhp,5,,2200.0
271,BMW X3 xDrive30d M Sport,Lahore,2017,51982,Diesel,Automatic,First,16.55 kmpl,2993 CC,258 bhp,5,,61026.0
272,Hyundai i10 Sportz,Peshawar,2010,36000,Petrol,Manual,Second,20.36 kmpl,1197 CC,78.9 bhp,5,,4333.0
273,Toyota Innova 2.5 G4 Diesel 7-seater,Karachi,2016,47000,Diesel,Manual,First,12.8 kmpl,2494 CC,102 bhp,7,,17066.0
274,Subaru Forester,Quetta,2002,60000,Petrol,Manual,Third,17.3 kmpl,993 CC,60 bhp,5,,733.0
275,Mazda CX-5,Abbottabad,2018,31025,Diesel,Manual,First,28.4 kmpl,1248 CC,74 bhp,5,,9533.0
276,Mazda CX-5,Karachi,2013,105000,Diesel,Manual,Second,12.05 kmpl,2179 CC,120 bhp,8,,9333.0
277,Nissan Leaf,Karachi,2017,121900,Diesel,Manual,First,22.95 kmpl,1248 CC,74 bhp,5,11120.0,5000.0
278,Ford EcoSport 1.0 Ecoboost Titanium Plus,Quetta,2017,22695,Petrol,Manual,First,18.88 kmpl,999 CC,123.24 bhp,5,15000,11333.0
279,Toyota Corolla,Rawalpindi,2012,73000,Diesel,Manual,First,23.4 kmpl,1248 CC,74 bhp,5,,5799.0
280,Subaru Forester,Multan,2016,32227,Petrol,Manual,First,22.74 kmpl,796 CC,47.3 bhp,5,,4346.0
281,Honda City 1.5 S MT,Rawalpindi,2011,55000,Petrol,Manual,First,17.0 kmpl,1497 CC,118 bhp,5,,5613.0
282,Audi Q7 3.0 TDI Quattro Technology,Multan,2018,11287,Diesel,Automatic,First,12.07 kmpl,2967 CC,241.4 bhp,7,,93813.0
283,Skoda Laura 1.9 TDI AT Ambiente,Quetta,2009,48000,Diesel,Automatic,Second,17.0 kmpl,1896 CC,105 bhp,5,,3933.0
284,Hyundai Verna 1.6 SX VTVT (O),Multan,2012,54308,Petrol,Manual,First,17.1 kmpl,1591 CC,121.3 bhp,5,,5706.0
285,Honda City 1.5 V AT,Rawalpindi,2009,78442,Petrol,Automatic,First,16.8 kmpl,1497 CC,118 bhp,5,,4760.0
286,Hyundai i20 Magna Optional 1.4 CRDi,Faislabad,2013,46000,Diesel,Manual,First,21.9 kmpl,1396 CC,88.8 bhp,5,,4146.0
287,Hyundai i20 Sportz AT 1.4,Lahore,2014,45051,Petrol,Automatic,First,15.0 kmpl,1396 CC,98.6 bhp,5,,7946.0
288,Volkswagen Vento Diesel Highline,Abbottabad,2011,69000,Diesel,Manual,First,20.54 kmpl,1598 CC,103.6 bhp,5,,6266.0
289,Honda City i VTEC VX,Chitral,2014,49000,Petrol,Manual,First,17.4 kmpl,1497 CC,117.3 bhp,5,,9200.0
290,Honda Civic,Karachi,2018,45000,Diesel,Manual,First,22.95 kmpl,1248 CC,74 bhp,5,11120.0,7000.0
291,BMW 5 Series 2003-2012 520d,Karachi,2015,64000,Diesel,Automatic,First,18.48 kmpl,1995 CC,177 bhp,5,,37333.0
292,Subaru Forester,Hyderabad,2009,60000,Petrol,Manual,First,18.9 kmpl,1061 CC,67 bhp,5,,1800.0
293,Honda Jazz VX,Hyderabad,2015,62178,Petrol,Manual,First,18.2 kmpl,1199 CC,88.7 bhp,5,11800.0,6466.0
294,Volkswagen Jetta 2007-2011 2.0 TDI Comfortline,Lahore,2012,58006,Diesel,Manual,First,15.0 kmpl,1896 CC,105 bhp,5,,8933.0
295,Hyundai i10 Magna 1.2,Abbottabad,2010,74000,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5,,4133.0
296,Mercedes-Benz New C-Class C 220 CDI Avantgarde,Multan,2015,77771,Diesel,Automatic,First,19.27 kmpl,2143 CC,170 bhp,5,,24853.0
297,Hyundai i10 Magna 1.2 iTech SE,Karachi,2012,45275,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5,,3733.0
298,Toyota Innova Crysta 2.4 ZX MT,Islamabad,2016,48000,Diesel,Manual,First,13.68 kmpl,2393 CC,147.8 bhp,7,33866.666666666664,27000.0
299,Audi A6 2011-2015 2.0 TDI Technology,Multan,2015,31652,Diesel,Automatic,First,17.68 kmpl,1968 CC,174.33 bhp,5,,35706.0
300,Toyota Innova 2.5 VX (Diesel) 7 Seater,Abbottabad,2010,109000,Diesel,Manual,Second,12.99 kmpl,2494 CC,100.6 bhp,7,,11013.0
301,Volkswagen Polo Petrol Trendline 1.2L,Quetta,2015,31978,Petrol,Manual,First,16.47 kmpl,1198 CC,73.9 bhp,5,,5186.0
302,Honda Civic,Abbottabad,2011,70000,Petrol,Manual,First,20.92 kmpl,998 CC,67.1 bhp,5,,2800.0
303,Honda City i-VTEC CVT ZX,Quetta,2017,15000,Petrol,Automatic,First,18.0 kmpl,1497 CC,117.3 bhp,5,22226.66666666667,16920.0
304,Honda Civic,Lahore,2013,59138,Diesel,Manual,First,17.0 kmpl,1405 CC,70 bhp,5,,3440.0
305,Audi A6 2011-2015 2.0 TDI Premium Plus,Multan,2014,61726,Diesel,Automatic,First,17.68 kmpl,1968 CC,174.33 bhp,5,,27693.0
306,Mercedes-Benz GLA Class 200 CDI SPORT,Hyderabad,2015,48000,Diesel,Automatic,First,17.9 kmpl,2143 CC,136 bhp,5,,27013.0
