Car,Location,Fuel,Transmission,ODO,Age,Mileage,Engine,Power,Seats,CP,SP
Honda Jazz V,Islamabad,Petrol,Manual,46000,13,17.56756756756757,1199.0,88.7,5.0,11480.0,6000.0
Nissan Micra Diesel XV,Rawalpindi,Diesel,Manual,86999,11,23.08,1461.0,63.1,5.0,6000.0,4666.0
Toyota Innova Crysta 2.8 GX AT 8S,Quetta,Diesel,Automatic,36000,8,11.36,2755.0,171.5,8.0,28000.0,23333.0
Nissan Leaf,Multan,Petrol,Manual,25692,6,21.56,1462.0,103.25,5.0,14200.0,13266.0
Mazda CX-5,Rawalpindi,Diesel,Manual,64424,9,25.2,1248.0,74.0,5.0,10000.0,7466.0
Mitsubishi Pajero Sport 4X4,Hyderabad,Diesel,Manual,110000,10,13.5,2477.0,175.56,7.0,42680.0,20000.0
Mazda CX-5,Rawalpindi,Diesel,Manual,25000,7,28.4,1248.0,74.0,5.0,12000.0,7986.0
BMW 3 Series 320d,Multan,Diesel,Automatic,32982,10,22.69,1995.0,190.0,5.0,63826.66666666666,24733.0
Honda WRV i-VTEC VX,Multan,Petrol,Manual,37430,6,17.5,1199.0,88.7,5.0,14093.333333333334,13200.0
Nissan Leaf,Multan,Diesel,Manual,50075,6,24.3,1248.0,88.5,5.0,14826.666666666666,11506.0
Hyundai Elantra 2.0 SX Option AT,Peshawar,Petrol,Automatic,46374,10,14.62,1999.0,149.92,5.0,31520.0,11800.0
Toyota Innova Crysta 2.7 GX MT,Peshawar,Petrol,Manual,70704,12,11.25,2694.0,163.7,7.0,24853.33333333333,14600.0
Hyundai Xcent 1.1 CRDi S,Rawalpindi,Diesel,Manual,75000,10,24.4,1120.0,71.0,5.0,7000.0,5133.0
Toyota Innova Crysta 2.4 GX MT 8S,Quetta,Diesel,Manual,22000,7,13.68,2393.0,147.8,8.0,25786.666666666668,22000.0
Audi A4 2.0 TDI Multitronic,Rawalpindi,Diesel,Automatic,65664,12,16.55,1968.0,140.0,5.0,25000.0,18000.0
Mercedes-Benz C-Class Progressive C 220d,Lahore,Diesel,Automatic,15369,5,0.0,1950.0,194.0,5.0,65520.0,47560.0
Hyundai Creta 1.4 E Plus Diesel,Quetta,Diesel,Manual,13000,6,22.1,1396.0,88.7,5.0,15746.666666666666,14000.0
Nissan Terrano XV D Pre,Multan,Diesel,Manual,56066,9,19.64,1461.0,108.5,5.0,22200.0,9226.0
Mazda CX-5,Rawalpindi,Diesel,Manual,95100,12,22.9,1248.0,74.0,5.0,8000.0,5000.0
Toyota Corolla,Karachi,Petrol,Manual,70000,7,17.57,1193.0,88.7,5.0,8893.333333333334,6000.0
Subaru Forester,Rawalpindi,Diesel,Manual,99638,11,23.2,1248.0,73.94,5.0,7000.0,4146.0
Datsun GO Plus T Petrol,Karachi,Petrol,Manual,32851,7,19.83,1198.0,67.0,7.0,8600.0,5266.0
Toyota Etios Liva 1.2 G,Chitral,Petrol,Manual,53000,10,17.71,1197.0,78.9,5.0,8546.666666666666,5200.0
Toyota Innova Crysta 2.8 ZX AT,Quetta,Diesel,Automatic,30000,7,11.36,2755.0,171.5,7.0,36000.0,25666.0
Subaru Forester,Lahore,Petrol,Manual,38053,7,15.1,1196.0,73.0,5.0,6840.0,5213.0
BMW 3 Series 320d Luxury Line,Quetta,Diesel,Automatic,56087,9,22.69,1995.0,190.0,5.0,72573.33333333333,27666.0
Nissan Micra XV CVT,Lahore,Petrol,Automatic,39882,8,19.15,1198.0,75.94,5.0,12680.0,8733.0
Toyota Corolla,Quetta,Diesel,Manual,55000,8,24.3,1248.0,88.5,5.0,13280.000000000002,10000.0
Hyundai Verna CRDi 1.6 SX Option,Faislabad,Diesel,Manual,10250,6,22.0,1582.0,126.2,5.0,19253.33333333333,14600.0
Subaru Forester,Rawalpindi,Diesel,Automatic,54000,8,16.0,2179.0,140.0,7.0,25000.0,17666.0
Subaru Forester,Abbottabad,Petrol,Manual,88500,10,24.07,998.0,67.1,5.0,6040.0,3466.0
Mercedes-Benz SLC 43 AMG,Faislabad,Petrol,Automatic,13372,7,19.0,2996.0,362.07,2.0,126720.0,72000.0
Hyundai Verna VTVT 1.6 AT SX Plus,Multan,Petrol,Automatic,12645,5,17.0,1591.0,121.3,5.0,17986.666666666668,15333.0
Audi RS5 Coupe,Quetta,Petrol,Automatic,23000,11,11.05,2894.0,444.0,4.0,170666.66666666666,49333.0
BMW 3 Series Luxury Line,Quetta,Diesel,Automatic,48000,10,21.76,1995.0,190.0,5.0,81173.33333333333,35333.0
Hyundai Grand i10 1.2 Kappa Asta,Faislabad,Petrol,Manual,1000,5,18.9,1197.0,81.86,5.0,9853.333333333334,8666.0
BMW 5 Series 520d Luxury Line,Abbottabad,Diesel,Automatic,51000,10,22.48,1995.0,190.0,5.0,92626.66666666669,44666.0
Mazda CX-5,Multan,Petrol,Manual,24773,7,21.4,1197.0,83.1,5.0,11706.666666666664,10000.0
Nissan Leaf,Quetta,Diesel,Manual,33000,8,25.47,1248.0,88.5,7.0,16986.666666666668,11333.0
Honda Amaze S i-Dtech,Faislabad,Diesel,Manual,52000,10,25.8,1498.0,98.6,5.0,7000.0,4666.0
Mazda CX-5,Quetta,Diesel,Manual,20000,8,24.3,1248.0,88.5,5.0,15973.333333333334,12000.0
Honda Amaze S Diesel,Faislabad,Diesel,Manual,45000,11,27.4,1498.0,98.6,5.0,11386.666666666664,4333.0
Skoda Superb Style 1.8 TSI AT,Abbottabad,Petrol,Automatic,26000,7,14.67,1798.0,177.46,5.0,44773.333333333336,34666.0
Honda Civic,Abbottabad,Diesel,Manual,107000,11,21.03,1461.0,65.0,5.0,12159.999999999998,4933.0
Subaru Forester,Faislabad,Petrol,Manual,32000,11,22.5,998.0,67.04,5.0,7053.333333333333,3533.0
Mini Cooper Convertible S,Multan,Petrol,Automatic,26327,7,16.82,1998.0,189.08,4.0,59040.0,47560.0
Toyota Innova Crysta 2.8 GX AT,Multan,Diesel,Automatic,14165,5,11.36,2755.0,171.5,7.0,27653.33333333333,26186.0
Honda City i-VTEC V,Faislabad,Petrol,Manual,32572,13,17.4,1497.0,117.3,5.0,15653.333333333334,5160.0
Toyota Innova Crysta 2.4 ZX MT,Karachi,Diesel,Manual,43000,7,13.68,2393.0,147.8,7.0,34026.666666666664,24866.0
Hyundai Verna CRDi 1.6 SX,Abbottabad,Diesel,Manual,143275,16,22.0,1582.0,126.2,5.0,18760.0,3466.0
Mercedes-Benz GLE 350d,Lahore,Diesel,Automatic,29819,7,11.57,2987.0,254.79,5.0,126840.0,81720.0
Nissan Leaf,Karachi,Diesel,Manual,121900,7,22.95,1248.0,74.0,5.0,11120.0,5000.0
Ford EcoSport 1.0 Ecoboost Titanium Plus,Quetta,Petrol,Manual,22695,7,18.88,999.0,123.24,5.0,15000.0,11333.0
Honda Civic,Karachi,Diesel,Manual,45000,6,22.95,1248.0,74.0,5.0,11120.0,7000.0
Honda Jazz VX,Hyderabad,Petrol,Manual,62178,9,18.2,1199.0,88.7,5.0,11800.0,6466.0
Toyota Innova Crysta 2.4 ZX MT,Islamabad,Diesel,Manual,48000,8,13.68,2393.0,147.8,7.0,33866.666666666664,27000.0
Honda City i-VTEC CVT ZX,Quetta,Petrol,Automatic,15000,7,18.0,1497.0,117.3,5.0,22226.66666666667,16920.0
